,,,,Doc,1,,,,,,Reality,
Index,Floor,Num_Staff,Num_Docs,Num_Pats,Doc_Start_Time,Doc_End_Time,,Num Pats in clinic,,,Doc_Start_Time,Doc_End_Time
0,4,3,2,8,60,300,,16,,,480,720
1,9,3,2,16,60,540,,32,,,480,960
2,9,3,2,16,60,540,,32,,,480,960
3,3,0,0,0,-420,-420,,0,,,0,0
4,9,0,0,0,-1419,-1419,,0,,,-999,-999
5,9,0,0,0,-1419,-1419,,0,,,-999,-999
6,6,3,2,16,60,540,,32,,,480,960
7,9,3,2,21,0,630,,42,,,420,1050
8,1,3,2,16,60,540,,32,,,480,960
9,8,0,0,0,-1419,-1419,,0,,,-999,-999
10,3,3,2,16,60,540,,32,,,480,960
11,3,0,0,0,-1419,-1419,,0,,,-999,-999
12,8,3,1,8,60,300,,8,,,480,720
13,8,3,1,6,360,540,,6,,,780,960
14,3,0,0,0,-1419,-1419,,0,,,-999,-999
15,4,3,2,12,90,450,,24,,,510,870
16,1,3,2,20,30,630,,40,,,450,1050
17,4,3,5,18,60,600,,90,,,480,1020
18,8,0,0,0,-1419,-1419,,0,,,-999,-999
19,7,0,0,0,-1419,-1419,,0,,,-999,-999
20,3,0,0,0,-1419,-1419,,0,,,-999,-999
21,3,3,2,8,240,480,,16,,,660,900
22,7,3,2,8,60,300,,16,,,480,720
23,3,3,2,8,60,300,,16,,,480,720
24,3,0,0,0,-1419,-1419,,0,,,-999,-999
25,7,0,0,0,-1419,-1419,,0,,,-999,-999
26,3,3,2,8,60,300,,16,,,480,720
27,7,3,2,16,60,540,,32,,,480,960
28,5,3,2,10,60,360,,20,,,480,780
29,3,3,2,15,60,510,,30,,,480,930
30,3,0,0,0,-1419,-1419,,0,,,-999,-999
31,8,0,0,0,-1419,-1419,,0,,,-999,-999
32,7,0,0,0,-1419,-1419,,0,,,-999,-999
33,7,0,0,0,-1419,-1419,,0,,,-999,-999
34,3,3,2,8,300,540,,16,,,720,960
35,1,3,2,16,60,540,,32,,,480,960
36,3,3,2,8,60,300,,16,,,480,720
37,3,0,0,0,-1419,-1419,,0,,,-999,-999
38,5,3,2,11,30,360,,22,,,450,780
39,5,3,2,6,360,540,,12,,,780,960
40,3,3,2,16,0,480,,32,,,420,900
41,7,3,2,13,60,450,,26,,,480,870
42,3,3,2,8,60,300,,16,,,480,720
43,8,3,1,6,360,540,,6,,,780,960
44,8,3,1,8,60,300,,8,,,480,720
45,7,3,2,16,90,570,,32,,,510,990
46,3,0,0,0,-1419,-1419,,0,,,-999,-999
47,3,0,0,0,-1419,-1419,,0,,,-999,-999
48,4,3,2,14,120,540,,28,,,540,960
49,6,3,1,6,120,300,,6,,,540,720
50,6,3,1,6,360,540,,6,,,780,960
51,6,0,0,0,-1419,-1419,,0,,,-999,-999
52,6,0,0,0,-1419,-1419,,0,,,-999,-999
53,6,0,0,0,-1419,-1419,,0,,,-999,-999
54,6,3,2,8,60,300,,16,,,480,720
55,6,3,2,6,360,540,,12,,,780,960
56,6,3,2,6,120,300,,12,,,540,720
57,9,0,0,0,-1419,-1419,,0,,,-999,-999
56,3,3,2,8,240,480,,16,,,660,900
57,3,3,2,8,420,660,,16,,,840,1080
58,4,3,2,14,60,480,,28,,,480,900
59,4,3,2,18,60,600,,36,,,480,1020
60,4,3,2,16,60,540,,32,,,480,960
61,5,3,2,14,120,540,,28,,,540,960
62,5,3,2,12,120,480,,24,,,540,900
63,5,3,2,6,120,300,,12,,,540,720
64,5,3,2,8,360,600,,16,,,780,1020
65,6,3,2,6,360,540,,12,,,780,960
66,6,3,2,19,0,570,,38,,,420,990
67,7,3,2,16,60,540,,32,,,480,960
68,7,3,2,6,360,540,,12,,,780,960
69,7,3,2,17,60,570,,34,,,480,990
70,8,3,4,20,60,660,,80,,,480,1080
71,8,3,2,16,60,540,,32,,,480,960
72,8,3,2,12,120,480,,24,,,540,900
73,9,3,2,18,60,600,,36,,,480,1020
,,,,,,,,,,Total people,,
,SUM,162,107,,,,,1338,,1607,,
(col index in C),,,,,,,,,,,,